;0;1;2;3
340;tt0050649;The Living Idol;1957;['Adventure', ' Drama', ' Horror']
341;tt0050672;La maldición de la momia azteca;1957;['Horror']
342;tt0050675;The Man Who Turned to Stone;1957;['Horror', ' Sci-Fi']
343;tt0050676;The Man Without a Body;1957;['Horror', ' Sci-Fi']
344;tt0050717;La momia azteca contra el robot humano;1958;['Horror', ' Sci-Fi']
345;tt0050718;La momia azteca;1957;['Horror']
346;tt0050720;The Monolith Monsters;1957;['Drama', ' Horror', ' Sci-Fi']
347;tt0050722;The Monster That Challenged the World;1957;['Horror', ' Sci-Fi', ' Thriller']
348;tt0050723;Monster from Green Hell;1957;['Horror', ' Sci-Fi']
349;tt0050766;Night of the Demon;1957;['Fantasy', ' Horror', ' Mystery']
350;tt0050778;Not of This Earth;1957;['Horror', ' Sci-Fi']
351;tt0050873;Quatermass 2;1957;['Sci-Fi', ' Horror']
352;tt0050894;The Revenge of Frankenstein;1958;['Horror', ' Sci-Fi']
353;tt0050957;The She-Creature;1956;['Fantasy', ' Horror', ' Romance']
354;tt0050958;She Devil;1957;['Crime', ' Horror', ' Sci-Fi']
355;tt0051005;Spook Chasers;1957;['Comedy', ' Crime', ' Horror']
356;tt0051020;The Strange World of Planet X;1958;['Drama', ' Sci-Fi', ' Horror']
357;tt0051063;Teenage Monster;1958;['Horror', ' Sci-Fi', ' Western']
358;tt0051064;Teenage Zombies;1959;['Horror', ' Sci-Fi']
359;tt0051128;The Undead;1957;['Fantasy', ' Horror']
360;tt0051134;The Unearthly;1957;['Sci-Fi', ' Horror']
361;tt0051137;The Unknown Terror;1957;['Horror', ' Sci-Fi']
362;tt0051150;The Vampire;1957;['Horror', ' Sci-Fi', ' Thriller']
363;tt0051151;El vampiro;1957;['Mystery', ' Thriller', ' Horror']
364;tt0051173;Voodoo Island;1957;['Horror']
365;tt0051174;Voodoo Woman;1957;['Horror', ' Sci-Fi']
366;tt0051205;Womaneater;1958;['Horror', ' Sci-Fi']
367;tt0051380;Attack of the 50 Foot Woman;1958;['Horror', ' Sci-Fi']
368;tt0051381;Attack of the Puppet People;1958;['Sci-Fi', ' Horror']
369;tt0051413;Bijo to ekitai ningen;1958;['Crime', ' Horror', ' Sci-Fi']
